date,url,title,source,category
2026-07-01,https://arxiv.org/abs/2511.17581,EgoCogNav: Cognition-aware Human Egocentric Navigation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.18775,"Rethinking Garment Conditioning in Diffusion-based Virtual Try-On: Decouple, Don't Denoise",arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.21466,Mean-Field Model for Two-Layer Neural Networks Trained with Consensus-Based Optimization,arxiv,cs
2026-07-01,https://arxiv.org/abs/2511.22823,A Unified and Stable Risk Minimization Framework for Weakly Supervised Learning with Theoretical Guarantees,arxiv,cs
2026-07-01,https://arxiv.org/abs/2512.04008,Efficient Public Verification of Private ML via Regularization,arxiv,cs
2026-07-01,https://arxiv.org/abs/2512.04390,FMA-Net++: Motion- and Exposure-Aware Joint Video Super-Resolution and Deblurring,arxiv,cs
2026-07-01,https://arxiv.org/abs/2512.17534,The HydroGym Reinforcement Learning Platform for Fluid Dynamics,arxiv,cs
2026-07-01,https://arxiv.org/abs/2512.21002,Distilling the Essence: Efficient Reasoning Distillation via Sequence Truncation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.02078,Genie Sim 3.0 : A High-Fidelity Comprehensive Simulation Platform for Humanoid Robot,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.04126,InfiniteWeb: Scalable Web Environment Synthesis for GUI Agent Training,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.08187,Improving LLM Reasoning with Homophily-aware Structural and Semantic Text-Attributed Graph Compression,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.14171,Paper2Rebuttal: A Multi-Agent Framework for Transparent Author Response Assistance,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.16398,White-Box Sensitivity Auditing with Steering Vectors,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.18778,Teaching Models to Teach Themselves: Reasoning at the Edge of Learnability,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.21173,Multimodal Benchmark for Safety Assessment in Industrial Inspection Scenarios,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.22123,Learning Hamiltonian Flow Maps: Mean Flow Consistency for Large-Timestep Molecular Dynamics,arxiv,cs
2026-07-01,https://arxiv.org/abs/2601.23088,From Similarity to Vulnerability: Key Collision Attack on LLM Semantic Caching,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.02124,Toxicity Assessment in Preclinical Histopathology via Class-Aware Mahalanobis Distance for Known and Novel Anomalies,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.03778,Reward Redistribution for CVaR MDPs using a Bellman Operator on L-infinity,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.03981,"DeXposure-FM: A Time-series, Graph Foundation Model for Credit Exposures and Stability on Decentralized Financial Networks",arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.06323,How (Not) to Hybridize Neural and Mechanistic Models for Epidemiological Forecasting,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.08557,Combined Constrained Sampling and Reinforcement Learning for Robotic Manipulation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.08653,High-Speed Vision-Based Flight in Clutter with Safety-Shielded Reinforcement Learning,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.10528,A swap-adversarial framework for improving domain generalization in electrocorticography-based Parkinson's disease classification,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.11354,ReplicatorBench: Benchmarking LLM Agents for Replicability in Social and Behavioral Sciences,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.13692,"ThunderAgent: A Simple, Fast and Program-Aware Agentic Inference System",arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.15029,Symmetry in language statistics shapes the geometry of model representations,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.16807,Improved Upper Bounds for Slicing the Hypercube,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.18767,Nazrin: An Atomic Neural Proof Automation Tactic in Lean 4,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.20055,CoReLIN: Constraint-based Reasoning for Zero-shot Lifelong Interactive Navigation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2602.23721,StemVLA:An Open-Source Vision-Language-Action Model with Future 3D Spatial Geometry Knowledge and 4D Historical Representation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.00759,Online Generation of Collision-Free Trajectories in Dynamic Environments,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.02794,"An Interpretable, Controllable Time-Varying IIR Denoiser for On-Device Assistive Hearing",arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.03031,Step-Level Sparse Autoencoder for Reasoning Process Interpretation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.05175,Incentive Aware AI Regulations: A Credal Characterisation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.05353,InfoFlow KV: Information-Flow-Aware KV Recomputation for Long Context,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.05965,PROBE: Probabilistic Occupancy BEV Encoding with Analytical Translation Robustness for 3D Place Recognition,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.06866,CAR: Cross-Vehicle Kinodynamics Adaptation via Mobility Representation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.06887,VertiAdaptor: Online Kinodynamics Adaptation for Vertically Challenging Terrain,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.07939,Unified Structural-Hydrodynamic Modeling of Underwater Underactuated Mechanisms and Soft Robots,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.08090,DSH-Bench: A Difficulty- and Scenario-Aware Benchmark with Hierarchical Subject Taxonomy for Subject-Driven Text-to-Image Generation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.09473,Receptogenesis in a Vascularized Robotic Embodiment,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.10652,Are Video Reasoning Models Ready to Go Outside?,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.11001,RCTs for Frontier AI Governance: Methodological Challenges and Solutions for Human Uplift Studies,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.13402,Event-Driven Video Generation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.13748,Multi-Robot Coordination for Planning under Context Uncertainty,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.13844,LDHP: Library-Driven Hierarchical Planning for Non-prehensile Dexterous Manipulation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.14579,Medical Image Spatial Grounding with Semantic Sampling,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.15620,Towards Generalizable Robotic Manipulation in Dynamic Environments,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.16250,Visual Prompt Discovery via Semantic Exploration,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.16424,Early-Terminable Energy-Safe Iterative Coupling for Parallel Simulation of Partitioned Port-Hamiltonian Systems,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.16428,An Efficient Heterogeneous Co-Design for Fine-Tuning on a Single GPU,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.16436,DISCOVER: A Solver for Distributional Counterfactual Explanations,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.17415,Structured SIR: Efficient and Expressive Importance-Weighted Inference for High-Dimensional Image Registration,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.18481,T-QPM: Enabling Temporal Out-Of-Distribution Detection and Domain Generalization for Vision-Language Models in Open-World,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.19127,On Optimizing Multimodal Jailbreaks for Spoken Language Models,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.21210,Pretrained Video Models as Differentiable Physics Simulators for Urban Wind Flows,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.23297,Drop-In Perceptual Optimization for 3D Gaussian Splatting,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.23461,End-to-End Efficient RL for Linear Bellman Complete MDPs with Deterministic Transitions,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.23867,Can VLMs Reason Robustly? A Neuro-Symbolic Investigation,arxiv,cs
2026-07-01,https://arxiv.org/abs/2603.25399,LaMP: Learning Vision-Language-Action Policy with 3D Scene Flow as Latent Motion Prior,arxiv,cs
